Period,Availability,Vacancy
2027 Q4,-,9.906% 
2027 Q3,-,10.110% 
2027 Q2,-,10.321% 
2027 Q1,-,10.546% 
2026 Q4,-,10.345% 
2026 Q3,-,10.599% 
2026 Q2,-,10.872% 
2026 Q1,-,11.148% 
2025 Q4,-,11.383% 
2025 Q3,-,11.648% 
2025 Q2,-,11.876% 
2025 Q1,-,12.109% 
2024 Q4,-,12.112% 
2024 Q3,-,12.205% 
2024 Q2,-,12.210% 
2024 Q1,-,12.218% 
2023 Q4,-,11.586% 
2023 Q3,-,11.481% 
2023 Q2,-,10.942% 
2023 Q1,-,10.217% 
2022 Q4 EST,-,9.548% 
2022 Q4 QTD,11.677% ,8.650% 
2022 Q3,11.674% ,8.497% 
2022 Q2,11.092% ,8.172% 
2022 Q1,11.181% ,7.813% 
2021 Q4,10.946% ,7.321% 
2021 Q3,10.144% ,6.537% 
2021 Q2,9.522% ,6.264% 
2021 Q1,9.498% ,6.013% 
2020 Q4,8.759% ,5.472% 
2020 Q3,7.766% ,4.763% 
2020 Q2,6.913% ,4.494% 
2020 Q1,6.389% ,4.289% 
2019 Q4,6.507% ,4.377% 
2019 Q3,6.440% ,4.441% 
2019 Q2,6.597% ,4.609% 
2019 Q1,6.429% ,4.603% 
2018 Q4,6.543% ,4.703% 
2018 Q3,7.183% ,5.360% 
2018 Q2,7.330% ,5.730% 
2018 Q1,7.431% ,5.784% 
2017 Q4,7.731% ,6.120% 
2017 Q3,7.612% ,6.252% 
2017 Q2,8.147% ,6.139% 
2017 Q1,8.306% ,6.199% 
2016 Q4,8.214% ,6.319% 
2016 Q3,8.134% ,6.481% 
2016 Q2,8.796% ,6.430% 
2016 Q1,9.361% ,6.786% 
2015 Q4,9.204% ,6.952% 
2015 Q3,9.216% ,6.934% 
2015 Q2,9.822% ,6.947% 
2015 Q1,9.621% ,6.836% 
2014 Q4,9.633% ,6.713% 
2014 Q3,9.547% ,6.483% 
2014 Q2,9.353% ,6.519% 
2014 Q1,9.745% ,6.519% 
2013 Q4,9.806% ,6.529% 
2013 Q3,10.693% ,6.883% 
2013 Q2,11.789% ,6.937% 
2013 Q1,11.636% ,8.067% 
