Period,Deliveries,Demolished,Net Deliveries
2027 Q4,"413,225 ","(99,517)","313,708 "
2027 Q3,"389,351 ","(99,448)","289,903 "
2027 Q2,"362,456 ","(99,381)","263,075 "
2027 Q1,"1,832,143 ","(99,334)","1,732,809 "
2026 Q4,"298,181 ","(99,262)","198,919 "
2026 Q3,"260,270 ","(99,256)","161,014 "
2026 Q2,"218,048 ","(99,196)","118,852 "
2026 Q1,"277,766 ","(99,195)","178,571 "
2025 Q4,"117,665 ","(99,123)","18,542 "
2025 Q3,"172,023 ","(105,861)","66,162 "
2025 Q2,0 ,"(105,834)","(105,834)"
2025 Q1,"555,702 ","(105,506)","450,196 "
2024 Q4,"127,907 ","(105,713)","22,194 "
2024 Q3,"170,491 ","(105,757)","64,734 "
2024 Q2,"7,504 ","(104,693)","(97,189)"
2024 Q1,"2,625,130 ","(99,492)","2,525,638 "
2023 Q4,"196,972 ","(104,332)","92,640 "
2023 Q3,"1,617,213 ","(99,632)","1,517,581 "
2023 Q2,"2,506,573 ","(98,869)","2,407,704 "
2023 Q1,"1,843,647 ","(100,069)","1,743,578 "
2022 Q4 EST,"2,752,083 ",0 ,"2,752,083 "
2022 Q4 QTD,-,-,-
2022 Q3,"97,001 ","(56,821)","40,180 "
2022 Q2,"954,558 ","(155,861)","798,697 "
2022 Q1,"1,024,992 ","(29,154)","995,838 "
2021 Q4,"1,903,514 ","(147,581)","1,755,933 "
2021 Q3,"345,199 ","(122,739)","222,460 "
2021 Q2,"471,561 ",0 ,"471,561 "
2021 Q1,"326,903 ","(1,943)","324,960 "
2020 Q4,"255,690 ","(24,455)","231,235 "
2020 Q3,"1,671,323 ","(167,098)","1,504,225 "
2020 Q2,"2,097,579 ","(119,412)","1,978,167 "
2020 Q1,"211,024 ","(88,673)","122,351 "
2019 Q4,"1,012,281 ","(185,086)","827,195 "
2019 Q3,"123,800 ","(231,239)","(107,439)"
2019 Q2,"635,493 ","(217,468)","418,025 "
2019 Q1,"425,371 ","(197,363)","228,008 "
2018 Q4,"648,138 ","(72,414)","575,724 "
2018 Q3,"618,839 ","(139,076)","479,763 "
2018 Q2,"96,369 ","(43,219)","53,150 "
2018 Q1,"254,423 ","(6,151)","248,272 "
2017 Q4,"223,239 ","(34,447)","188,792 "
2017 Q3,"229,919 ","(9,770)","220,149 "
2017 Q2,"1,265,142 ","(191,259)","1,073,883 "
2017 Q1,"719,457 ","(14,134)","705,323 "
2016 Q4,"1,315,431 ","(253,854)","1,061,577 "
2016 Q3,"46,604 ","(127,328)","(80,724)"
2016 Q2,"577,228 ","(120,143)","457,085 "
2016 Q1,"1,636,568 ","(11,295)","1,625,273 "
2015 Q4,"247,143 ","(116,460)","130,683 "
2015 Q3,"990,677 ","(59,916)","930,761 "
2015 Q2,"230,325 ","(73,281)","157,044 "
2015 Q1,"1,085,124 ","(25,748)","1,059,376 "
2014 Q4,"2,210,688 ",0 ,"2,210,688 "
2014 Q3,"640,461 ",0 ,"640,461 "
2014 Q2,"176,724 ","(42,051)","134,673 "
2014 Q1,"112,029 ","(133,059)","(21,030)"
2013 Q4,"1,311,534 ","(140,018)","1,171,516 "
2013 Q3,"646,289 ","(122,631)","523,658 "
2013 Q2,0 ,"(587,566)","(587,566)"
2013 Q1,0 ,0 ,0 
