Period,Market Cap Rate,Transaction Cap Rate
2027 Q4,5.411% ,-
2027 Q3,5.411% ,-
2027 Q2,5.411% ,-
2027 Q1,5.411% ,-
2026 Q4,5.411% ,-
2026 Q3,5.421% ,-
2026 Q2,5.421% ,-
2026 Q1,5.431% ,-
2025 Q4,5.431% ,-
2025 Q3,5.441% ,-
2025 Q2,5.441% ,-
2025 Q1,5.451% ,-
2024 Q4,5.451% ,-
2024 Q3,5.451% ,-
2024 Q2,5.451% ,-
2024 Q1,5.461% ,-
2023 Q4,5.461% ,-
2023 Q3,5.451% ,-
2023 Q2,5.451% ,-
2023 Q1,5.441% ,-
2022 Q4 EST,5.421% ,-
2022 Q4 QTD,5.381% ,-
2022 Q3,5.378% ,5.433% 
2022 Q2,5.356% ,5.823% 
2022 Q1,5.353% ,4.550% 
2021 Q4,5.351% ,4.838% 
2021 Q3,5.319% ,5.410% 
2021 Q2,5.385% ,4.980% 
2021 Q1,5.478% ,5.012% 
2020 Q4,5.507% ,5.565% 
2020 Q3,5.560% ,5.000% 
2020 Q2,5.589% ,5.834% 
2020 Q1,5.589% ,4.850% 
2019 Q4,5.568% ,5.052% 
2019 Q3,5.658% ,4.802% 
2019 Q2,5.652% ,5.078% 
2019 Q1,5.641% ,2.200% 
2018 Q4,5.585% ,5.050% 
2018 Q3,5.563% ,5.047% 
2018 Q2,5.498% ,5.617% 
2018 Q1,5.454% ,5.928% 
2017 Q4,5.449% ,3.840% 
2017 Q3,5.461% ,4.360% 
2017 Q2,5.456% ,5.041% 
2017 Q1,5.479% ,5.194% 
2016 Q4,5.497% ,6.000% 
2016 Q3,5.457% ,5.741% 
2016 Q2,5.413% ,6.431% 
2016 Q1,5.415% ,4.230% 
2015 Q4,5.439% ,6.157% 
2015 Q3,5.455% ,5.600% 
2015 Q2,5.546% ,6.000% 
2015 Q1,5.616% ,5.187% 
2014 Q4,5.705% ,5.948% 
2014 Q3,5.848% ,6.417% 
2014 Q2,5.952% ,5.805% 
2014 Q1,6.013% ,5.333% 
2013 Q4,6.053% ,-
2013 Q3,6.129% ,6.598% 
2013 Q2,6.163% ,6.056% 
2013 Q1,6.254% ,-
