Period,Current Search
2027 Q4,90.094% 
2027 Q3,89.890% 
2027 Q2,89.679% 
2027 Q1,89.454% 
2026 Q4,89.655% 
2026 Q3,89.401% 
2026 Q2,89.128% 
2026 Q1,88.852% 
2025 Q4,88.617% 
2025 Q3,88.352% 
2025 Q2,88.124% 
2025 Q1,87.891% 
2024 Q4,87.888% 
2024 Q3,87.795% 
2024 Q2,87.790% 
2024 Q1,87.782% 
2023 Q4,88.414% 
2023 Q3,88.519% 
2023 Q2,89.058% 
2023 Q1,89.783% 
2022 Q4 EST,90.452% 
2022 Q4 QTD,91.350% 
2022 Q3,91.503% 
2022 Q2,91.828% 
2022 Q1,92.187% 
2021 Q4,92.679% 
2021 Q3,93.463% 
2021 Q2,93.736% 
2021 Q1,93.987% 
2020 Q4,94.528% 
2020 Q3,95.237% 
2020 Q2,95.506% 
2020 Q1,95.711% 
2019 Q4,95.623% 
2019 Q3,95.559% 
2019 Q2,95.391% 
2019 Q1,95.397% 
2018 Q4,95.297% 
2018 Q3,94.640% 
2018 Q2,94.270% 
2018 Q1,94.216% 
2017 Q4,93.880% 
2017 Q3,93.748% 
2017 Q2,93.861% 
2017 Q1,93.801% 
2016 Q4,93.681% 
2016 Q3,93.519% 
2016 Q2,93.570% 
2016 Q1,93.214% 
2015 Q4,93.048% 
2015 Q3,93.066% 
2015 Q2,93.053% 
2015 Q1,93.164% 
2014 Q4,93.287% 
2014 Q3,93.517% 
2014 Q2,93.481% 
2014 Q1,93.481% 
2013 Q4,93.471% 
2013 Q3,93.117% 
2013 Q2,93.063% 
2013 Q1,91.933% 
