Period,Individual Sale,Portfolio Sale,Condo Sale,Entity Sale
2022 Q4 QTD,-,-,-,-
2022 Q3,$320 ,$303 ,$679 ,-
2022 Q2,$414 ,$283 ,$695 ,-
2022 Q1,$382 ,$524 ,$655 ,-
2021 Q4,$308 ,$423 ,$622 ,-
2021 Q3,$526 ,$316 ,$606 ,-
2021 Q2,$273 ,$190 ,$375 ,-
2021 Q1,$542 ,$244 ,$659 ,-
2020 Q4,$379 ,$219 ,$561 ,-
2020 Q3,$507 ,$339 ,$615 ,-
2020 Q2,$378 ,$435 ,$456 ,-
2020 Q1,$325 ,$383 ,$680 ,-
2019 Q4,$421 ,$286 ,$412 ,-
2019 Q3,$444 ,$365 ,$365 ,-
2019 Q2,$394 ,$359 ,$431 ,-
2019 Q1,$378 ,$539 ,$243 ,-
2018 Q4,$320 ,$209 ,$768 ,-
2018 Q3,$249 ,$313 ,$526 ,-
2018 Q2,$347 ,$274 ,$330 ,-
2018 Q1,$369 ,$439 ,$342 ,-
2017 Q4,$341 ,$268 ,$528 ,-
2017 Q3,$455 ,$364 ,$344 ,-
2017 Q2,$366 ,$230 ,$302 ,-
2017 Q1,$536 ,$279 ,$190 ,-
2016 Q4,$320 ,$117 ,$285 ,-
2016 Q3,$326 ,$669 ,$410 ,-
2016 Q2,$234 ,$207 ,$287 ,-
2016 Q1,$307 ,$179 ,$296 ,-
2015 Q4,$278 ,$296 ,$261 ,-
2015 Q3,$229 ,$380 ,$300 ,-
2015 Q2,$181 ,$339 ,$291 ,-
2015 Q1,$211 ,$73 ,$211 ,-
2014 Q4,$380 ,$264 ,$352 ,-
2014 Q3,$412 ,$316 ,$211 ,-
2014 Q2,$241 ,$238 ,$284 ,-
2014 Q1,$286 ,$260 ,$220 ,-
2013 Q4,$159 ,$248 ,$262 ,-
2013 Q3,$443 ,$244 ,$78 ,-
2013 Q2,$267 ,$266 ,$189 ,-
2013 Q1,$263 ,$210 ,$120 ,-
