Period,Sale Price Per SF
2022 Q4 QTD,-
2022 Q3,$272 
2022 Q2,$316 
2022 Q1,$467 
2021 Q4,$376 
2021 Q3,$398 
2021 Q2,$218 
2021 Q1,$364 
2020 Q4,$288 
2020 Q3,$410 
2020 Q2,$353 
2020 Q1,$350 
2019 Q4,$378 
2019 Q3,$398 
2019 Q2,$358 
2019 Q1,$480 
2018 Q4,$257 
2018 Q3,$267 
2018 Q2,$274 
2018 Q1,$414 
2017 Q4,$327 
2017 Q3,$382 
2017 Q2,$316 
2017 Q1,$405 
2016 Q4,$299 
2016 Q3,$484 
2016 Q2,$222 
2016 Q1,$239 
2015 Q4,$281 
2015 Q3,$285 
2015 Q2,$229 
2015 Q1,$164 
2014 Q4,$333 
2014 Q3,$333 
2014 Q2,$239 
2014 Q1,$266 
2013 Q4,$212 
2013 Q3,$397 
2013 Q2,$266 
2013 Q1,$218 
