,,,,,,,,,,,,Average Price Per Land SF,,,,
Period,# of Transactions,% of Search,Sales Volume,Average Sale Price,Building SF,Average Bldg SF,Average Price Per Bldg SF,Median Price Per Bldg SF,Land SF,Average Land SF,Average Price Per Land SF,Local,National,Foreign,Median Price Per Land SF,
2022-09-30,27,1.20%,"$213,679,893","$11,871,105","156,449","5,794",$436.36,$857.32,"280,169","15,565",$770.34,$307,$324,$310,$760.43,
2022-06-30,47,2.00%,"$547,303,263","$18,243,442","852,762","18,144",$608.31,$699.42,"514,470","30,263","$1,043.45",$301,$322,$659,"$1,248.96",
2022-03-31,52,2.20%,"$1,878,496,121","$45,816,979","3,676,672","70,705",$499.16,$575.71,"824,965","23,570","$2,378.57",$481,$498,$528,$905.52,
2021-12-31,54,2.30%,"$551,852,921","$15,329,248","1,193,827","22,108",$436.35,$638.99,"914,425","31,532",$594.35,$270,$373,$435,$471.59,
2021-09-30,56,2.40%,"$550,838,212","$13,115,196","1,284,514","22,938",$433.33,$506.50,"4,366,537","121,293",$122.58,$406,$402,$764,$446.63,
2021-06-30,45,1.90%,"$96,902,611","$3,125,891","505,589","11,235",$140.54,$483.61,"836,766","41,838",$99.44,$244,$216,$308,$266.81,
2021-03-31,46,2.00%,"$262,181,880","$9,040,754","499,636","10,862",$525.29,$676.74,"352,095","16,766",$718.86,$362,$400,$531,$991.20,
2020-12-31,37,1.60%,"$262,592,468","$11,936,021","700,331","18,928",$267.69,$517.69,"490,899","30,681",$552.29,$336,$286,$464,$790.74,
2020-09-30,32,1.40%,"$390,777,007","$15,029,885","806,555","25,205",$448.27,$592.60,"469,986","24,736",$796.01,$408,$862,$611,$794.13,
2020-06-30,38,1.60%,"$124,975,664","$4,999,027","422,174","11,110",$581.90,$597.95,"154,120","8,562",$964.67,$401,$345,$415,$952.40,
2020-03-31,75,3.20%,"$647,532,253","$16,603,391","1,714,165","22,856",$425.96,$655.64,"945,688","26,269",$749.75,$367,"$1,023",$296,$653.23,
2019-12-31,44,1.90%,"$937,021,687","$29,281,928","1,781,846","40,497",$525.81,$432.74,"969,297","42,143",$955.07,$298,$511,$628,$852.78,
2019-09-30,50,2.10%,"$831,890,029","$21,330,514","1,747,577","34,952",$447.61,$577.48,"1,904,962","54,427",$536.04,$399,$461,$417,$585.40,
2019-06-30,70,3.00%,"$815,871,830","$14,834,033","1,706,357","24,377",$448.47,$411.50,"683,295","21,353","$1,114.77",$394,$294,$329,$532.15,
2019-03-31,36,1.50%,"$937,784,225","$39,074,343","1,657,122","46,031",$506.06,$470.38,"1,481,750","67,352",$654.95,$482,$616,$331,$808.22,
2018-12-31,51,2.20%,"$526,217,147","$14,617,143","1,561,318","30,614",$279.60,$345.74,"3,286,920","131,477",$138.24,$305,$284,$247,$382.61,
2018-09-30,60,2.60%,"$361,564,797","$9,514,863","1,044,940","17,416",$297.35,$496.51,"4,115,675","141,920",$93.39,$264,$327,$298,$258.62,
2018-06-30,31,1.30%,"$732,816,159","$29,312,646","1,936,687","62,474",$288.85,$270.20,"2,417,902","120,895",$296.67,$312,$491,$267,$494.88,
2018-03-31,78,3.30%,"$1,337,379,860","$44,579,329","2,722,427","34,903",$493.84,$513.35,"1,288,152","53,673",$745.59,$256,$593,$667,$585.40,
2017-12-31,106,4.50%,"$323,717,058","$6,606,471","669,374","6,315",$398.20,$552.80,"1,411,549","41,516",$367.95,$342,$320,$324,$502.71,
2017-09-30,64,2.70%,"$1,877,498,045","$40,815,175","4,164,355","65,068",$428.77,$418.26,"2,156,947","65,362",$856.63,$367,$465,$370,$732.09,
2017-06-30,73,3.10%,"$1,048,471,573","$20,969,431","3,139,309","43,004",$358.12,$473.10,"1,494,204","55,341",$932.24,$338,$236,$291,$773.77,
2017-03-31,43,1.80%,"$410,867,388","$12,084,335","749,354","17,427",$522.65,$415.29,"378,628","18,931","$1,046.66",$295,$752,$490,$530.60,
2016-12-31,70,3.00%,"$299,704,899","$8,562,997","1,034,714","14,782",$363.70,$371.60,"2,184,721","80,916",$209.46,$260,$452,$288,$460.42,
2016-09-30,85,3.60%,"$1,308,661,489","$23,368,955","2,332,089","27,436",$567.74,$442.01,"604,500","17,271","$2,102.37",$496,$440,$209,"$1,152.97",
2016-06-30,59,2.50%,"$145,631,257","$3,165,897","1,780,493","30,178",$421.27,$482.17,"379,538","11,861",$351.78,$227,$178,$248,$409.53,
2016-03-31,49,2.10%,"$261,371,490","$5,681,989","607,246","12,393",$378.02,$338.00,"1,010,644","38,871",$250.79,$209,$259,$601,$199.48,
2015-12-31,54,2.30%,"$530,131,258","$12,328,634","3,000,592","55,567",$307.54,$314.39,"1,192,995","33,139",$480.61,$279,$311,$271,$421.36,
2015-09-30,58,2.50%,"$341,968,063","$9,499,113","947,187","16,331",$355.63,$393.59,"406,471","16,936",$629.24,$292,$248,$411,$685.06,
2015-06-30,42,1.80%,"$243,806,636","$6,589,369","845,627","20,134",$237.51,$376.38,"1,123,735","46,822",$199.39,$221,$387,$312,$330.81,
2015-03-31,47,2.00%,"$354,481,699","$9,328,466","1,644,406","34,987",$194.55,$254.57,"807,088","26,035",$424.23,$216,$261,$83,$262.56,
2014-12-31,43,1.80%,"$656,979,716","$19,322,933","1,918,649","44,620",$354.90,$320.54,"733,442","24,448",$924.52,$342,$369,$173,$536.25,
2014-09-30,43,1.80%,"$662,255,630","$16,980,914","1,539,163","35,794",$371.42,$327.21,"1,063,077","34,293",$714.60,$310,$327,$535,$358.05,
2014-06-30,43,1.80%,"$221,653,094","$7,388,436","873,252","20,308",$252.16,$325.64,"898,177","33,266",$234.55,$243,$214,$236,$295.79,
2014-03-31,72,3.10%,"$409,052,945","$7,866,403","1,572,766","21,844",$404.39,$336.58,"1,106,450","29,117","$1,100.33",$281,$200,$286,$802.24,
2013-12-31,60,2.60%,"$504,202,045","$14,005,612","1,863,578","31,060",$257.97,$266.84,"3,904,914","185,948",$126.17,$226,$222,$154,$385.51,
2013-09-30,81,3.50%,"$128,753,762","$2,682,370","697,722","8,614",$197.42,$315.35,"234,017","11,144",$457.64,$428,$255,$340,$367.98,
2013-06-30,84,3.60%,"$1,288,347,299","$22,602,584","4,243,857","50,522",$305.54,$300.00,"1,597,110","44,364",$786.67,$269,$232,$222,$880.18,
2013-03-31,43,1.80%,"$80,604,508","$2,518,891","357,362","8,311",$283.68,$243.63,"430,042","21,502",$189.84,$190,$348,$224,$305.65,
2012-12-31,24,1.00%,"$1,002,317,373","$45,559,881","2,147,819","89,492",$452.80,$338.18,"590,591","34,741","$1,717.88",0,0,0,$524.42,
2012-09-30,32,1.40%,"$628,663,895","$20,279,480","2,560,699","80,022",$245.80,$224.61,"1,586,982","66,124",$381.33,0,0,0,$318.85,
2012-06-30,42,1.80%,"$1,501,093,561","$36,612,038","4,450,284","105,959",$337.17,$289.15,"835,672","22,586","$1,816.36",0,0,0,$836.51,
2012-03-31,45,1.90%,"$766,682,820","$36,508,706","4,069,197","90,427",$332.80,$224.62,"2,352,906","87,145","$1,067.03",0,0,0,$688.71,
